Target	POS	Context	Overlap	Sent1	Sent2	Sent3
banco	same|same|same	same|diff|diff	false|true|false	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	Hoje eu não tenho mais relação com a <b>instituição financeira</b>, pois minha conta é digital.	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	
banco	same|same|same	same|diff|diff	false|false|false	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	Hoje eu não tenho mais relação com a <b>instituição financeira</b>, pois minha conta é digital.	Colocam-nos no <b>assento</b> de alguns dos mais icónicos carros de F1 de sempre.	
banco	same|same|same	diff|diff|diff	true|true|true	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	Ele era ex-governador do <b>banco</b> central.	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	
banco	same|same|same	diff|diff|diff	true|false|false	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	Ele era ex-governador do <b>banco</b> central.	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	
banco	same|same|same	diff|diff|diff	true|true|true	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	Ele era ex-governador do <b>banco</b> central.	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	
banco	same|same|same	diff|diff|diff	true|false|false	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	Ele era ex-governador do <b>banco</b> central.	Colocam-nos no <b>assento</b> de alguns dos mais icónicos carros de F1 de sempre.	
banco	same|same|same	diff|diff|diff	false|true|false	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	O Estado valida o empréstimo junto de uma <b>instituição financeira</b> e passa a deter o controlo das finanças municipais.	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	
banco	same|same|same	diff|diff|diff	false|false|false	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	O Estado valida o empréstimo junto de uma <b>instituição financeira</b> e passa a deter o controlo das finanças municipais.	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	
banco	same|same|same	diff|diff|diff	false|true|false	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	O Estado valida o empréstimo junto de uma <b>instituição financeira</b> e passa a deter o controlo das finanças municipais.	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	
banco	same|same|same	diff|diff|diff	false|false|false	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	O Estado valida o empréstimo junto de uma <b>instituição financeira</b> e passa a deter o controlo das finanças municipais.	Colocam-nos no <b>assento</b> de alguns dos mais icónicos carros de F1 de sempre.	
banco	same|same|same	diff|diff|diff	false|false|true	Hoje eu não tenho mais relação com a <b>instituição financeira</b>, pois minha conta é digital.	Ele era ex-governador do <b>banco</b> central.	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	
banco	same|same|same	diff|diff|diff	false|false|false	Hoje eu não tenho mais relação com a <b>instituição financeira</b>, pois minha conta é digital.	Ele era ex-governador do <b>banco</b> central.	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	
banco	same|same|same	diff|diff|diff	false|false|true	Hoje eu não tenho mais relação com a <b>instituição financeira</b>, pois minha conta é digital.	Ele era ex-governador do <b>banco</b> central.	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	
banco	same|same|same	diff|diff|diff	false|false|false	Hoje eu não tenho mais relação com a <b>instituição financeira</b>, pois minha conta é digital.	Ele era ex-governador do <b>banco</b> central.	Colocam-nos no <b>assento</b> de alguns dos mais icónicos carros de F1 de sempre.	
banco	same|same|same	diff|diff|diff	true|false|false	Hoje eu não tenho mais relação com a <b>instituição financeira</b>, pois minha conta é digital.	O Estado valida o empréstimo junto de uma <b>instituição financeira</b> e passa a deter o controlo das finanças municipais.	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	
banco	same|same|same	diff|diff|diff	true|false|false	Hoje eu não tenho mais relação com a <b>instituição financeira</b>, pois minha conta é digital.	O Estado valida o empréstimo junto de uma <b>instituição financeira</b> e passa a deter o controlo das finanças municipais.	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	
banco	same|same|same	diff|diff|diff	true|false|false	Hoje eu não tenho mais relação com a <b>instituição financeira</b>, pois minha conta é digital.	O Estado valida o empréstimo junto de uma <b>instituição financeira</b> e passa a deter o controlo das finanças municipais.	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	
banco	same|same|same	diff|diff|diff	true|false|false	Hoje eu não tenho mais relação com a <b>instituição financeira</b>, pois minha conta é digital.	O Estado valida o empréstimo junto de uma <b>instituição financeira</b> e passa a deter o controlo das finanças municipais.	Colocam-nos no <b>assento</b> de alguns dos mais icónicos carros de F1 de sempre.	
banco	same|same|same	diff|diff|diff	false|true|false	Ele era ex-governador do <b>banco</b> central.	O Estado valida o empréstimo junto de uma <b>instituição financeira</b> e passa a deter o controlo das finanças municipais.	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	
banco	same|same|same	diff|diff|diff	false|false|false	Ele era ex-governador do <b>banco</b> central.	O Estado valida o empréstimo junto de uma <b>instituição financeira</b> e passa a deter o controlo das finanças municipais.	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	
banco	same|same|same	diff|diff|diff	false|true|false	Ele era ex-governador do <b>banco</b> central.	O Estado valida o empréstimo junto de uma <b>instituição financeira</b> e passa a deter o controlo das finanças municipais.	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	
banco	same|same|same	diff|diff|diff	false|false|false	Ele era ex-governador do <b>banco</b> central.	O Estado valida o empréstimo junto de uma <b>instituição financeira</b> e passa a deter o controlo das finanças municipais.	Colocam-nos no <b>assento</b> de alguns dos mais icónicos carros de F1 de sempre.	
banco	same|same|same	same|diff|diff	false|true|false	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	
banco	same|same|same	same|diff|diff	false|false|false	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	Hoje eu não tenho mais relação com a <b>instituição financeira</b>, pois minha conta é digital.	
banco	same|same|same	same|diff|diff	false|true|false	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	Ele era ex-governador do <b>banco</b> central.	
banco	same|same|same	same|diff|diff	false|false|false	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	O Estado valida o empréstimo junto de uma <b>instituição financeira</b> e passa a deter o controlo das finanças municipais.	
banco	same|same|same	diff|diff|diff	true|true|true	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	
banco	same|same|same	diff|diff|diff	true|false|false	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	Hoje eu não tenho mais relação com a <b>instituição financeira</b>, pois minha conta é digital.	
banco	same|same|same	diff|diff|diff	true|true|true	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	Ele era ex-governador do <b>banco</b> central.	
banco	same|same|same	diff|diff|diff	true|false|false	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	O Estado valida o empréstimo junto de uma <b>instituição financeira</b> e passa a deter o controlo das finanças municipais.	
banco	same|same|same	diff|diff|diff	false|true|false	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	Colocam-nos no <b>assento</b> de alguns dos mais icónicos carros de F1 de sempre.	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	
banco	same|same|same	diff|diff|diff	false|false|false	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	Colocam-nos no <b>assento</b> de alguns dos mais icónicos carros de F1 de sempre.	Hoje eu não tenho mais relação com a <b>instituição financeira</b>, pois minha conta é digital.	
banco	same|same|same	diff|diff|diff	false|true|false	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	Colocam-nos no <b>assento</b> de alguns dos mais icónicos carros de F1 de sempre.	Ele era ex-governador do <b>banco</b> central.	
banco	same|same|same	diff|diff|diff	false|false|false	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	Colocam-nos no <b>assento</b> de alguns dos mais icónicos carros de F1 de sempre.	O Estado valida o empréstimo junto de uma <b>instituição financeira</b> e passa a deter o controlo das finanças municipais.	
banco	same|same|same	diff|diff|diff	false|false|true	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	
banco	same|same|same	diff|diff|diff	false|false|false	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	Hoje eu não tenho mais relação com a <b>instituição financeira</b>, pois minha conta é digital.	
banco	same|same|same	diff|diff|diff	false|false|true	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	Ele era ex-governador do <b>banco</b> central.	
banco	same|same|same	diff|diff|diff	false|false|false	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	O Estado valida o empréstimo junto de uma <b>instituição financeira</b> e passa a deter o controlo das finanças municipais.	
banco	same|same|same	diff|diff|diff	true|false|false	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	Colocam-nos no <b>assento</b> de alguns dos mais icónicos carros de F1 de sempre.	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	
banco	same|same|same	diff|diff|diff	true|false|false	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	Colocam-nos no <b>assento</b> de alguns dos mais icónicos carros de F1 de sempre.	Hoje eu não tenho mais relação com a <b>instituição financeira</b>, pois minha conta é digital.	
banco	same|same|same	diff|diff|diff	true|false|false	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	Colocam-nos no <b>assento</b> de alguns dos mais icónicos carros de F1 de sempre.	Ele era ex-governador do <b>banco</b> central.	
banco	same|same|same	diff|diff|diff	true|false|false	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	Colocam-nos no <b>assento</b> de alguns dos mais icónicos carros de F1 de sempre.	O Estado valida o empréstimo junto de uma <b>instituição financeira</b> e passa a deter o controlo das finanças municipais.	
banco	same|same|same	diff|diff|diff	false|true|false	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	Colocam-nos no <b>assento</b> de alguns dos mais icónicos carros de F1 de sempre.	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	
banco	same|same|same	diff|diff|diff	false|false|false	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	Colocam-nos no <b>assento</b> de alguns dos mais icónicos carros de F1 de sempre.	Hoje eu não tenho mais relação com a <b>instituição financeira</b>, pois minha conta é digital.	
banco	same|same|same	diff|diff|diff	false|true|false	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	Colocam-nos no <b>assento</b> de alguns dos mais icónicos carros de F1 de sempre.	Ele era ex-governador do <b>banco</b> central.	
banco	same|same|same	diff|diff|diff	false|false|false	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	Colocam-nos no <b>assento</b> de alguns dos mais icónicos carros de F1 de sempre.	O Estado valida o empréstimo junto de uma <b>instituição financeira</b> e passa a deter o controlo das finanças municipais.	
sede	same|same|same	same|same|same	false|false|false	Ontem, na <b>sede</b> da sua administração, Arafat prometeu assumir responsabilidades na luta contra o terrorismo.	Ontem, no <b>local</b> da sua administração, Arafat prometeu assumir responsabilidades na luta contra o terrorismo.	Ontem, na <b>televisão</b> da sua administração, Arafat prometeu assumir responsabilidades na luta contra o terrorismo.	
sede	same|same|same	diff|same|diff	false|false|false	Ontem, na <b>sede</b> da sua administração, Arafat prometeu assumir responsabilidades na luta contra o terrorismo.	Vai começar a edificação de um <b>local</b> social e de um novo pavilhão.	Ontem, na <b>televisão</b> da sua administração, Arafat prometeu assumir responsabilidades na luta contra o terrorismo.	
sede	same|same|same	diff|same|diff	true|false|false	Ontem, no <b>local</b> da sua administração, Arafat prometeu assumir responsabilidades na luta contra o terrorismo.	Vai começar a edificação de um <b>local</b> social e de um novo pavilhão.	Ontem, na <b>televisão</b> da sua administração, Arafat prometeu assumir responsabilidades na luta contra o terrorismo.	
sede	same|same|same	diff|same|diff	true|false|false	Algumas casas nocturnas da cidade montarão no local pequenos bares para matar a <b>sede</b> a todos aqueles que resolvam abanar o melão na pista de dança.	E cita outras dificuldades, como cansaço, <b>sede</b> e fome.	Algumas casas nocturnas da cidade montarão no local pequenos bares para matar o <b>tempo</b> a todos aqueles que resolvam abanar o melão na pista de dança.	
sede	same|same|same	same|diff|diff	false|true|false	Ontem, na <b>sede</b> da sua administração, Arafat prometeu assumir responsabilidades na luta contra o terrorismo.	Ontem, no <b>local</b> da sua administração, Arafat prometeu assumir responsabilidades na luta contra o terrorismo.	Algumas casas nocturnas da cidade montarão no local pequenos bares para matar a <b>sede</b> a todos aqueles que resolvam abanar o melão na pista de dança.	
sede	same|same|same	same|diff|diff	false|true|false	Ontem, na <b>sede</b> da sua administração, Arafat prometeu assumir responsabilidades na luta contra o terrorismo.	Ontem, no <b>local</b> da sua administração, Arafat prometeu assumir responsabilidades na luta contra o terrorismo.	E cita outras dificuldades, como cansaço, <b>sede</b> e fome.	
sede	same|same|same	diff|diff|diff	false|true|false	Ontem, na <b>sede</b> da sua administração, Arafat prometeu assumir responsabilidades na luta contra o terrorismo.	Vai começar a edificação de um <b>local</b> social e de um novo pavilhão.	Algumas casas nocturnas da cidade montarão no local pequenos bares para matar a <b>sede</b> a todos aqueles que resolvam abanar o melão na pista de dança.	
sede	same|same|same	diff|diff|diff	false|true|false	Ontem, na <b>sede</b> da sua administração, Arafat prometeu assumir responsabilidades na luta contra o terrorismo.	Vai começar a edificação de um <b>local</b> social e de um novo pavilhão.	E cita outras dificuldades, como cansaço, <b>sede</b> e fome.	
sede	same|same|same	diff|diff|diff	true|false|false	Ontem, no <b>local</b> da sua administração, Arafat prometeu assumir responsabilidades na luta contra o terrorismo.	Vai começar a edificação de um <b>local</b> social e de um novo pavilhão.	Algumas casas nocturnas da cidade montarão no local pequenos bares para matar a <b>sede</b> a todos aqueles que resolvam abanar o melão na pista de dança.	
sede	same|same|same	diff|diff|diff	true|false|false	Ontem, no <b>local</b> da sua administração, Arafat prometeu assumir responsabilidades na luta contra o terrorismo.	Vai começar a edificação de um <b>local</b> social e de um novo pavilhão.	E cita outras dificuldades, como cansaço, <b>sede</b> e fome.	
sede	same|same|same	diff|diff|diff	true|true|true	Algumas casas nocturnas da cidade montarão no local pequenos bares para matar a <b>sede</b> a todos aqueles que resolvam abanar o melão na pista de dança.	E cita outras dificuldades, como cansaço, <b>sede</b> e fome.	Ontem, na <b>sede</b> da sua administração, Arafat prometeu assumir responsabilidades na luta contra o terrorismo.	
sede	same|same|same	diff|diff|diff	true|false|false	Algumas casas nocturnas da cidade montarão no local pequenos bares para matar a <b>sede</b> a todos aqueles que resolvam abanar o melão na pista de dança.	E cita outras dificuldades, como cansaço, <b>sede</b> e fome.	Ontem, no <b>local</b> da sua administração, Arafat prometeu assumir responsabilidades na luta contra o terrorismo.	
sede	same|same|same	diff|diff|diff	true|false|false	Algumas casas nocturnas da cidade montarão no local pequenos bares para matar a <b>sede</b> a todos aqueles que resolvam abanar o melão na pista de dança.	E cita outras dificuldades, como cansaço, <b>sede</b> e fome.	Vai começar a edificação de um <b>local</b> social e de um novo pavilhão.	
olho	same|same|same	diff|same|diff	true|false|false	Contorne o <b>olho</b> na parte de baixo com uma sombra para demarcar bem a região.	A francesa estava a piscar o <b>olho</b> ao seu companheiro.	Contorne o <b>lábio</b> na parte de baixo com uma sombra para demarcar bem a região.	
olho	same|same|same	same|same|same	false|false|false	Em alguns casos eu <b>olho</b> e vejo se tem alguma afinidade, e aí aceito.	Em alguns casos eu <b>observo</b> e vejo se tem alguma afinidade, e aí aceito.	Em alguns casos eu <b>cheiro</b> e vejo se tem alguma afinidade, e aí aceito.	
olho	same|same|same	diff|same|diff	true|false|false	Em alguns casos eu <b>olho</b> e vejo se tem alguma afinidade, e aí aceito.	Não <b>olho</b> tanto para esse fator individual.	Em alguns casos eu <b>cheiro</b> e vejo se tem alguma afinidade, e aí aceito.	
olho	same|same|same	diff|same|diff	false|false|false	Em alguns casos eu <b>olho</b> e vejo se tem alguma afinidade, e aí aceito.	Aquilo que <b>observo</b> diariamente, e garanto-vos que estou atenta, é preocupante.	Em alguns casos eu <b>cheiro</b> e vejo se tem alguma afinidade, e aí aceito.	
olho	same|same|same	diff|same|diff	false|false|false	Em alguns casos eu <b>observo</b> e vejo se tem alguma afinidade, e aí aceito.	Não <b>olho</b> tanto para esse fator individual.	Em alguns casos eu <b>cheiro</b> e vejo se tem alguma afinidade, e aí aceito.	
olho	same|same|same	diff|diff|diff	false|false|false	Não <b>olho</b> tanto para esse fator individual.	Aquilo que <b>observo</b> diariamente, e garanto-vos que estou atenta, é preocupante.	Em alguns casos eu <b>cheiro</b> e vejo se tem alguma afinidade, e aí aceito.	
olho	same|same|same	diff|same|diff	true|false|false	Em alguns casos eu <b>observo</b> e vejo se tem alguma afinidade, e aí aceito.	Aquilo que <b>observo</b> diariamente, e garanto-vos que estou atenta, é preocupante.	Em alguns casos eu <b>cheiro</b> e vejo se tem alguma afinidade, e aí aceito.	
olho	same|diff|diff	diff|diff|diff	true|true|true	Contorne o <b>olho</b> na parte de baixo com uma sombra para demarcar bem a região.	A francesa estava a piscar o <b>olho</b> ao seu companheiro.	Em alguns casos eu <b>olho</b> e vejo se tem alguma afinidade, e aí aceito.	
olho	same|diff|diff	diff|diff|diff	true|false|false	Contorne o <b>olho</b> na parte de baixo com uma sombra para demarcar bem a região.	A francesa estava a piscar o <b>olho</b> ao seu companheiro.	Em alguns casos eu <b>observo</b> e vejo se tem alguma afinidade, e aí aceito.	
olho	same|diff|diff	diff|diff|diff	true|true|true	Contorne o <b>olho</b> na parte de baixo com uma sombra para demarcar bem a região.	A francesa estava a piscar o <b>olho</b> ao seu companheiro.	Não <b>olho</b> tanto para esse fator individual.	
olho	same|diff|diff	diff|diff|diff	true|false|false	Contorne o <b>olho</b> na parte de baixo com uma sombra para demarcar bem a região.	A francesa estava a piscar o <b>olho</b> ao seu companheiro.	Aquilo que <b>observo</b> diariamente, e garanto-vos que estou atenta, é preocupante.	
olho	same|diff|diff	same|diff|diff	false|true|false	Em alguns casos eu <b>olho</b> e vejo se tem alguma afinidade, e aí aceito.	Em alguns casos eu <b>observo</b> e vejo se tem alguma afinidade, e aí aceito.	Contorne o <b>olho</b> na parte de baixo com uma sombra para demarcar bem a região.	
olho	same|diff|diff	same|diff|diff	false|true|false	Em alguns casos eu <b>olho</b> e vejo se tem alguma afinidade, e aí aceito.	Em alguns casos eu <b>observo</b> e vejo se tem alguma afinidade, e aí aceito.	A francesa estava a piscar o <b>olho</b> ao seu companheiro.	
olho	same|diff|diff	diff|diff|diff	true|true|true	Em alguns casos eu <b>olho</b> e vejo se tem alguma afinidade, e aí aceito.	Não <b>olho</b> tanto para esse fator individual.	Contorne o <b>olho</b> na parte de baixo com uma sombra para demarcar bem a região.	
olho	same|diff|diff	diff|diff|diff	true|true|true	Em alguns casos eu <b>olho</b> e vejo se tem alguma afinidade, e aí aceito.	Não <b>olho</b> tanto para esse fator individual.	A francesa estava a piscar o <b>olho</b> ao seu companheiro.	
olho	same|diff|diff	diff|diff|diff	false|true|false	Em alguns casos eu <b>olho</b> e vejo se tem alguma afinidade, e aí aceito.	Aquilo que <b>observo</b> diariamente, e garanto-vos que estou atenta, é preocupante.	Contorne o <b>olho</b> na parte de baixo com uma sombra para demarcar bem a região.	
olho	same|diff|diff	diff|diff|diff	false|true|false	Em alguns casos eu <b>olho</b> e vejo se tem alguma afinidade, e aí aceito.	Aquilo que <b>observo</b> diariamente, e garanto-vos que estou atenta, é preocupante.	A francesa estava a piscar o <b>olho</b> ao seu companheiro.	
olho	same|diff|diff	diff|diff|diff	false|false|true	Em alguns casos eu <b>observo</b> e vejo se tem alguma afinidade, e aí aceito.	Não <b>olho</b> tanto para esse fator individual.	Contorne o <b>olho</b> na parte de baixo com uma sombra para demarcar bem a região.	
olho	same|diff|diff	diff|diff|diff	false|false|true	Em alguns casos eu <b>observo</b> e vejo se tem alguma afinidade, e aí aceito.	Não <b>olho</b> tanto para esse fator individual.	A francesa estava a piscar o <b>olho</b> ao seu companheiro.	
olho	same|diff|diff	diff|diff|diff	true|false|false	Em alguns casos eu <b>observo</b> e vejo se tem alguma afinidade, e aí aceito.	Aquilo que <b>observo</b> diariamente, e garanto-vos que estou atenta, é preocupante.	Contorne o <b>olho</b> na parte de baixo com uma sombra para demarcar bem a região.	
olho	same|diff|diff	diff|diff|diff	true|false|false	Em alguns casos eu <b>observo</b> e vejo se tem alguma afinidade, e aí aceito.	Aquilo que <b>observo</b> diariamente, e garanto-vos que estou atenta, é preocupante.	A francesa estava a piscar o <b>olho</b> ao seu companheiro.	
olho	same|diff|diff	diff|diff|diff	false|true|false	Não <b>olho</b> tanto para esse fator individual.	Aquilo que <b>observo</b> diariamente, e garanto-vos que estou atenta, é preocupante.	Contorne o <b>olho</b> na parte de baixo com uma sombra para demarcar bem a região.	
olho	same|diff|diff	diff|diff|diff	false|true|false	Não <b>olho</b> tanto para esse fator individual.	Aquilo que <b>observo</b> diariamente, e garanto-vos que estou atenta, é preocupante.	A francesa estava a piscar o <b>olho</b> ao seu companheiro.	
bola	same|same|same	same|same|same	false|false|false	A capacidade para roubar a <b>bola</b> ao adversário é o seu melhor trunfo.	A capacidade para roubar o <b>esférico</b> ao adversário é o seu melhor trunfo.	A capacidade para roubar a <b>posição</b> ao adversário é o seu melhor trunfo.	
